TOPIC: (privacy AND student)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Consumer Acceptance of Accountable-eHealth Systems","Gajanayake, Randike; Iannella, Renato; Sahama, Tony","","","Lovis, C; Seroussi, B; Hasman, A; PapeHaugaard, L; Saka, O; Andersen, SK","E-HEALTH - FOR CONTINUITY OF CARE","2014","2014","205","","","","","980","984","","10.3233/978-1-61499-432-9-980","25th European Medical Informatics Conference (MIE)","AUG 31-SEP 03, 2014","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"THE WIN-WIN INTERACTION BETWEEN THE 1ST GRADE TEACHER AND THE JUNIOR SCIENCE PROJECT","Teixeira e Costa, F.; Pratas, H.; Parames, A.; Pacheco, L.","","","Chova, LG; Martinez, AL; Torres, IC","INTED2014: 8TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE","2014","2014","","","","","","6804","6806","","","8th International Technology, Education and Development Conference (INTED)","MAR 10-12, 2014","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Private Conversations and Public Audiences: Exploring the Ethical Implications of Using Mobile Telephones to Research Young People's Lives","Hinton, Denise","","","","YOUNG","AUG 2013","2013","21","3","","","SI","","","","10.1177/1103308813488813","","","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Knowledge, Attitudes, and Awareness of Croatian Dentists Concerning Patients' Confidentiality and Privacy","Budimir, Vice; Cerjan-Letica, Gordana; Budimir, Jozo; Macan, Darko","","","","JOURNAL OF DENTAL EDUCATION","MAR 2013","2013","77","3","","","","370","376","","","","","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Revisiting Students' Privacy in Computer Supported Learning Systems","Isabwe, Ghislain Maurice Norbert; Reichert, Frank","","","","INTERNATIONAL CONFERENCE ON INFORMATION SOCIETY (I-SOCIETY 2013)","2013","2013","","","","","","256","262","","","International Conference on Information Society (I-Society)","JUN 24-26, 2013","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Success of a pre-medical master's degree program in preparing students for medical careers","Franzblau, Carl; Broitman, Selwyn; Moss, Mark; Traish, Abdulmaged; Romney, Carla","","","Odabasi, HF","3RD WORLD CONFERENCE ON LEARNING, TEACHING AND EDUCATIONAL LEADERSHIP","2013","2013","93","","","","","405","414","","10.1016/j.sbspro.2013.09.212","3rd World Conference on Learning, Teaching and Educational Leadership (WCLTA)","OCT 25-28, 2012","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Adopting Edmodo (c) to Enhance Classroom Collaboration: Thailand Case","Thongmak, Mathupayas","","","Soliman, KS","VISION 2020: INNOVATION, DEVELOPMENT SUSTAINABILITY, AND ECONOMIC GROWTH, VOLS 1-3","2013","2013","","","","","","17","29","","","21st International-Business-Information-Management-Association Conference on Vision 2020: Innovation, Development Sustainability, and Economic Growth","JUN 27-28, 2013","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"The Privacy Problem in Big Bata Applications: An Empirical Study on Facebook","Surma, Jerzy","","","","2013 ASE/IEEE INTERNATIONAL CONFERENCE ON SOCIAL COMPUTING (SOCIALCOM)","2013","2013","","","","","","955","958","","10.1109/SocialCom.2013.150","ASE/IEEE International Conference on Social Computing (SocialCom)","SEP 08-14, 2013","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Computer Science Students' Perception of Computer Network Security","Cambazoglu, Volkan; Thota, Neena","","","","2013 LEARNING AND TEACHING IN COMPUTING AND ENGINEERING (LATICE 2013)","2013","2013","","","","","","204","207","","10.1109/LaTiCE.2013.19","1st International Conference on Learning and Teaching in Computing and Engineering (LaTiCE)","MAR 21-24, 2013","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Changes in use, Perception and Attitude of First Year Students Towards Facebook and Twitter","Johnston, Kevin; Chen, Mei-Miao; Hauman, Magnus","","","Blooma, J; Nkhoma, M; Leung, N","PROCEEDINGS OF THE 4TH INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS MANAGEMENT AND EVALUATION (ICIME 2013)","2013","2013","","","","","","135","144","","","4th International Conference on Information Systems Management and Evaluation (ICIME)","MAY 13-14, 2013","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Acceptance of Internet Banking Systems among Young Managers","Ariff, Mohd Shoki Md; Yeow, S. M.; Zakuan, Norhayati; Bahari, Ahamad Zaidi","","","Gaol, FL; Hussain, RR; Pandiangan, T; Desai, A","2013 INTERNATIONAL CONFERENCE ON MANUFACTURING, OPTIMIZATION, INDUSTRIAL AND MATERIAL ENGINEERING (MOIME 2013)","2013","2013","46","","","","","","","012024","10.1088/1757-899X/46/1/012024","International Conference on Manufacturing, Optimization, Industrial and Material Engineering (MOIME)","MAR 09-10, 2013","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"NETWORKING SITES IN THE UNIVERSITY","Martinez, M. A.; Martinez, M.; Ramos, E.; Romero, A.; Castellano, V.; Ares, I.","","","Chova, LG; Martinez, AL; Torres, IC","7TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2013)","2013","2013","","","","","","349","349","","","7th International Technology, Education and Development Conference (INTED)","MAR 04-06, 2013","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Factors in the Usage of Mobile Phones in Japanese University EFL Classrooms","MacLean, George R.; Elwood, James A.","","","","CASES ON E-LEARNING MANAGEMENT: DEVELOPMENT AND IMPLEMENTATION","2013","2013","","","","","","118","144","","10.4018/978-1-4666-1933-3.ch006","","","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Web 2.0: Privacy and Integrity in the Virtual Campus","Harris, Lisa; Warren, Lorraine; Smith, Kelly; Carey, Charlotte","","","Beycioglu, K","ETHICAL TECHNOLOGY USE, POLICY, AND REACTIONS IN EDUCATIONAL SETTINGS","2013","2013","","","","","","162","175","","10.4018/978-1-4666-1882-4.ch014","","","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"BALANCING STUDENTS' PRIVACY CONCERNS WHILE INCREASING STUDENT ENGAGEMENT IN E-LEARNING ENVIRONMENTS","Siemens, Lynne; Althaus, Catherine; Stange, Charlotte","","","Wankel, C; Blessinger, P","INCREASING STUDENT ENGAGEMENT AND RETENTION IN E-LEARNING ENVIRONMENTS: WEB 2.0 AND BLENDED LEARNING TECHNOLOGIES","2013","2013","6G","","","","","339","357","","10.1108/S2044-9968(2013)000006G014","","","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Study on Chinese University Students' Privacy Protection from Intercultural Perspective","Fang, Huang; Chen, Zhao","","","Li, P","PROCEEDINGS OF THE 2013 CONFERENCE ON EDUCATION TECHNOLOGY AND MANAGEMENT SCIENCE (ICETMS 2013)","2013","2013","","","","","","448","451","","","Conference on Education Technology and Management Science (ICETMS)","JUN 08-09, 2013","1","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Evaluation of a Short Message Service Diary Methodology in a Nonclinical, Naturalistic Setting","Walsh, Erin I.; Brinker, Jay K.","","","","CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING","NOV 2012","2012","15","11","","","","615","618","","10.1089/cyber.2012.0189","","","1","0.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Working motivation and stress of professional caregivers in nursing homes","Nuzzo, M. D.; Scarafiotti, C.; Raspo, S.; Bonati, A.; Pregliasco, F.","","","","GIORNALE DI GERONTOLOGIA","FEB 2012","2012","60","1","","","","28","35","","","","","1","0.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"WILL THE REAL "JOHN DOE" STAND UP? VERIFYING THE IDENTITY OF ONLINE STUDENTS","Kraglund-Gauthier, Wendy L.; Young, David C.","","","Wankel, LA; Wankel, C","MISBEHAVIOR ONLINE IN HIGHER EDUCATION","2012","2012","5","","","","","355","377","","10.1108/S2044-9968(2012)0000005019","","","1","0.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Facebook for Teaching and Learning and its Effect on Social Presence and Sense of Community","Ku, Fred; Ho, Eric; Lam, Paul","","","Lam, P","PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON ELEARNING","2012","2012","","","","","","194","202","","","7th International Conference on eLearning","JUN 21-22, 2012","1","0.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Teaching disruption: reflections from a Johannesburg classroom","Gillespie, Kelly","","","","CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","2012","2012","26","1","","","","39","61","","10.1080/02560046.2012.663159","","","1","0.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Beyond the Panopticon Framework: Privacy, Control and User Generated Content","Farinosi, Manuela","","","Esposito, A; Esposito, AM; Martone, R; Muller, VC; Scarpetta, G","TOWARD AUTONOMOUS, ADAPTIVE, AND CONTEXT-AWARE MULTIMODAL INTERFACES: THEORETICAL AND PRACTICAL ISSUES","2011","2011","6456","","","","","180","189","","","3rd EUCOGII-COST 2102 International Training School","MAR 15-19, 2010","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"TEACHING STUDENTS WHILE LEAKING PERSONAL INFORMATION: M-LEARING AND PRIVACY","Okazaki, Shintaro","","","Torres, IC; Chova, LG; Martinez, AL","2011 4TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION (ICERI)","2011","2011","","","","","","1659","1664","","","4th International Conference of Education, Research and Innovation (ICERI)","NOV 14-16, 2011","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"System Level Design of a Secure Healthcare Smart Card System","Oksar, Merve; Ors, Berna; Saldamli, Gokay","","","Neeley, KA","2011 IEEE SYSTEMS AND INFORMATION ENGINEERING DESIGN SYMPOSIUM (SIEDS)","2011","2011","","","","","","170","175","","","IEEE Systems and Information Engineering Design Symposium (SIEDS)","APR 29, 2011","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Liability and Litigation Risks for Colleges and Schools of Pharmacy","Van Dusen, Virgil","","","","AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION","2011","2011","75","3","","","","","","52","10.5688/ajpe75352","","","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"SCHOOOOOLS.COM: A SOCIAL AND COLLABORATIVE LEARNING ENVIRONMENT FOR K-6","Simoes, J.; Aguiar, A.","","","Chova, LG; Belenguer, DM; Martinez, AL","EDULEARN11: 3RD INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES","2011","2011","","","","","","2441","2450","","","3rd International Conference on Education and New Learning Technologies (EDULEARN)","JUL 04-06, 2011","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Cross-Cultural Comparison of Blog Use for Parent-Teacher Communication in Elementary Schools","Zhang, Qiping; Hatcher, April","","","Harris, D","ENGINEERING PSYCHOLOGY AND COGNITIVE ERGONOMICS","2011","2011","6781","","","","","263","272","","","9th International Conference on Engineering Psychology and Cognitive Ergonomics (EPCE) Held as Part of 14th International Conference on Human-Computer Interaction (HCI)","JUL 09-14, 2011","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"A VISUALIZATION BASED SIMULATOR FOR SYN FLOOD ATTACKS","Terry, Tom, Jr.; Yu, Huiming; Williams, Ken; Yuan, Xiaohong; Chu, Bill","","","Csurka, G; Kraus, M; Braz, J","IMAGAPP & IVAPP 2011: PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON IMAGING THEORY AND APPLICATIONS AND INTERNATIONAL CONFERENCE ON INFORMATION VISUALIZATION THEORY AND APPLICATIONS","2011","2011","","","","","","251","255","","","Int Conf on Imaging Theory and Applications and Int Conf on Information Visualization Theory and Applications","MAR 05-07, 2011","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"The Information and Attitude Levels of the Educational Psychologists and Special Education Teachers in the Process of Sex Education for the Adolescents with Autism","Bekirogullari, Zafer; Gulsen, Cennet; Soyturk, Kamil","","","Bekirogullari, Z","INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATIONAL PSYCHOLOGY 2010","2011","2011","12","","","","","638","653","","10.1016/j.sbspro.2011.02.077","International Conference on Education and Educational Psychology (ICEEPSY)","DEC 02-05, 2010","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"The Role of Security as a Customer Perception on Customers' Online Purchasing Behavior","Azadavar, Ramin; Shahbazi, Danish; Teimouri, Mohammad Eghbali","","","Yanqun, Z","SOFTWARE AND COMPUTER APPLICATIONS","2011","2011","9","","","","","174","181","","","International Conference on Software and Computer Applications (ICSCA 2011)","JUL 01-02, 2011","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Generation of a template for usage point determination in facebook","Teh, Phoey Lee; Batch, Yamen; Ji, Ma Ling","","","Karahoca, A; Kanbul, S","WORLD CONFERENCE ON INFORMATION TECHNOLOGY (WCIT-2010)","2011","2011","3","","","","","","","","10.1016/j.procs.2010.12.184","1st World Conference on Information Technology (WCIT)","OCT 06-10, 2010","1","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"What Are the Discussion Topics and Usefulness of Clerkship Directors' Meetings Within Medical Schools? A Report From the CDIM 2007 National Survey","Hemmer, Paul A.; Durning, Steven J.; Papp, Klara","","","","ACADEMIC MEDICINE","DEC 2010","2010","85","12","","","","1855","1861","","10.1097/ACM.0b013e3181fa2de7","","","1","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Socializing Surveillance: An Interdisciplinary Educational Model","Hadjiyanni, Tasoulla; Papanikolopoulos, Nikos; Gopinath, Anand; Willow, Diane","","","","18TH MEDITERRANEAN CONFERENCE ON CONTROL AND AUTOMATION","2010","2010","","","","","","179","184","","10.1109/MED.2010.5547664","18th Annual International Mediterranean Conference on Control and Automation (MED)","JUN 23-25, 2010","1","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"USING STREAMING VIDEO WEBSITES (YOUTUBE) AS A TOOL FOR SELF AND PEER EVALUATION IN SECOND LANGUAGE LEARNING","MacIsaac, Steve","","","Chova, LG; Belenguer, DM; Torres, IC","4TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED 2010)","2010","2010","","","","","","2338","2343","","","4th International Technology, Education and Development Conference (INTED)","MAR 08-10, 2010","1","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"I Know What You Did This Summer - Users' Behavior on Internet","Usmani, Zeeshan-ul-hassan; Alghamdi, Fawzi Abdulkhaliq; Tariq, Amina; Puri, Talal Naveed","","","Sobh, T","INNOVATIONS AND ADVANCES IN COMPUTER SCIENCES AND ENGINEERING","2010","2010","","","","","","19","+","","10.1007/978-90-481-3658-2_4","International Joint Conference on Computer, Information, Systems Sciences and Engineering","DEC 05-13, 2008","1","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
