TOPIC: (privacy AND student)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Information needs of gay, lesbian, bisexual, and transgendered health care professionals: results of an Internet survey","Fikar, CR; Keith, L","","","","JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION","JAN 2004","2004","92","1","","","","56","65","","","","","29","1.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","3","1","2","2","2","3","0","3","1","1","3","4","0"
"Lying to each other - When internal medicine residents use deception with tumor colleagues","Green, MJ; Farber, NJ; Ubel, PA; Mauger, DT; Aboff, BM; Sosman, JM; Arnold, RM","","","","ARCHIVES OF INTERNAL MEDICINE","AUG 14 2000","2000","160","15","","","","2317","2323","","10.1001/archinte.160.15.2317","22nd Annual Meeting of the Society-of-General-Internal-Medicine","APR 29-MAY 01, 1999","29","1.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5","1","1","3","2","1","4","2","0","1","1","1","2","1","0","0","0","1"
"Give Me a Customizable Dashboard: Personalized Learning Analytics Dashboards in Higher Education","Roberts, Lynne D.; Howell, Joel A.; Seaman, Kristen","","","","TECHNOLOGY KNOWLEDGE AND LEARNING","OCT 2017","2017","22","3","","","SI","317","333","","10.1007/s10758-017-9316-1","","","30","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","8","15","1"
"Student Attitudes toward Learning Analytics in Higher Education: "The Fitbit Version of the Learning World"","Roberts, Lynne D.; Howell, Joel A.; Seaman, Kristen; Gibson, David C.","","","","FRONTIERS IN PSYCHOLOGY","DEC 19 2016","2016","7","","","","","","","1959","10.3339/fpsyg.2016.01959","","","30","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","9","13","1"
"Student perceptions of privacy principles for learning analytics","Ifenthaler, Dirk; Schumacher, Clara","","","","ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT","OCT 2016","2016","64","5","","","SI","923","938","","10.1007/s11423-016-9477-y","","","30","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","8","13","3"
"Social Media and Social Work Education: Understanding and Dealing with the New Digital World","Fang, Lin; Mishna, Faye; Zhang, Vivian F.; Van Wert, Melissa; Bogo, Marion","","","","SOCIAL WORK IN HEALTH CARE","OCT 21 2014","2014","53","9","","","SI","800","814","","10.1080/00981389.2014.943455","","","30","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","6","3","5","4","0"
"Physical and mental health perspectives of first year undergraduate rural university students","Hussain, Rafat; Guppy, Michelle; Robertson, Suzanne; Temple, Elizabeth","","","","BMC PUBLIC HEALTH","SEP 15 2013","2013","13","","","","","","","848","10.1186/1471-2458-13-848","","","30","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","2","2","8","6","5","1"
"Exploring the relationship between urbanized Malaysian youth and their mobile phones: A quantitative approach","Balakrishnan, Vimala; Raj, Ram Gopal","","","","TELEMATICS AND INFORMATICS","AUG 2012","2012","29","3","","","","263","272","","10.1016/j.tele.2011.11.001","","","30","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","6","5","3","3","4","0"
"Psychiatric genetic testing: Attitudes and intentions among future users and providers","Laegsgaard, Mett Marri; Mors, Ole","","","","AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS","APR 5 2008","2008","147B","3","","","","375","384","","10.1002/ajmg.b.30609","","","30","2.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","2","1","4","2","1","2","4","2","1","1","0"
"Anonymity and confidentiality: Rural teenagers' concerns when accessing sexual health services","Garside, R; Ayres, R; Owen, M; Pearson, VAH; Roizen, J","","","","JOURNAL OF FAMILY PLANNING AND REPRODUCTIVE HEALTH CARE","JAN 2002","2002","28","1","","","","23","26","","10.1783/147118902101195965","","","30","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","2","1","1","2","1","1","2","4","4","3","2","1","1","2","0"
"The importance of professional values from clinical nurses' perspective in hospitals of a medical university in Iran","Poorchangizi, Batool; Farokhzadian, Jamileh; Abbaszadeh, Abbas; Mirzaee, Moghaddameh; Borhani, Fariba","","","","BMC MEDICAL ETHICS","MAR 1 2017","2017","18","","","","","","","20","10.1186/s12910-017-0178-9","","","31","6.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","11","12","3"
"Cultural influences on Facebook practices: A comparative study of college students in Namibia and the United States","Peters, Anicia N.; Winschiers-Theophilus, Heike; Mennecke, Brian E.","","","","COMPUTERS IN HUMAN BEHAVIOR","AUG 2015","2015","49","","","","","259","271","","10.1016/j.chb.2015.02.065","","","31","4.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","11","2","5","3","1"
"Epidemic Contact Tracing via Communication Traces","Farrahi, Katayoun; Emonet, Remi; Cebrian, Manuel","","","","PLOS ONE","MAY 1 2014","2014","9","5","","","","","","e95133","10.1371/journal.pone.0095133","","","31","3.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","5","2","3","14","3"
"A Data Encryption Solution for Mobile Health Apps in Cooperation Environments","Silva, Bruno M.; Rodrigues, Joel J. P. C.; Canelo, Fabio; Lopes, Ivo C.; Zhou, Liang","","","","JOURNAL OF MEDICAL INTERNET RESEARCH","APR 2013","2013","15","4","","","","","","e66","10.2196/jmir.2498","","","31","3.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","8","8","3","4","1","1","0"
"Online professionalism and Facebook - Falling through the generation gap","Osman, Ahmed; Wardle, Andrew; Caesar, Richard","","","","MEDICAL TEACHER","2012","2012","34","8","","","","E549","E556","","10.3109/0142159X.2012.668624","","","31","3.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","7","3","6","2","5","1","0"
"Assessing Sensitive Attributes Using the Randomized Response Technique: Evidence for the Importance of Response Symmetry","Ostapczuk, Martin; Moshagen, Morten; Zhao, Zengmei; Musch, Jochen","","","","JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS","JUN 2009","2009","34","2","","","","267","287","","10.3102/1076998609332747","","","31","2.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","4","3","3","4","2","2","3","1","4","0"
"Medical students as patients: A pilot study of their health care needs, practices, and concerns","Roberts, LW; Hardee, JT; Franchini, G; Stidley, CA; Siegler, M","","","","ACADEMIC MEDICINE","NOV 1996","1996","71","11","","","","1225","1232","","10.1097/00001888-199611000-00019","","","31","1.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","3","0","1","1","1","1","2","1","2","1","1","0","4","1","2","1","2","2","0"
"Relocation and privacy regulation: A cross-cultural analysis","Harris, PB; Werner, CM; Brown, BB; Ingebritsen, D","","","","JOURNAL OF ENVIRONMENTAL PSYCHOLOGY","DEC 1995","1995","15","4","","","","311","320","","10.1006/jevp.1995.0027","","","31","1.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","2","0","0","1","1","0","1","2","1","0","0","1","3","0","9","1","2","3","1"
"Social media in nurse education: Utilization and E-professionalism","Duke, Valda J. A.; Anstey, Allan; Carter, Sandra; Gosse, Natalie; Hutchens, Karen M.; Marsh, Janice A.","","","","NURSE EDUCATION TODAY","OCT 2017","2017","57","","","","","8","13","","10.1016/j.nedt.2017.06.009","","","32","6.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","12","12","2"
"Too close for comfort: Attachment insecurity and electronic intrusion in college students' dating relationships","Reed, Lauren A.; Tolman, Richard M.; Safyer, Paige","","","","COMPUTERS IN HUMAN BEHAVIOR","SEP 2015","2015","50","","","","","431","438","","10.1016/j.chb.2015.03.050","","","32","4.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","10","8","3"
"Smile, snap, and share? A nuanced approach to privacy and online photo-sharing","Litt, Eden; Hargittai, Eszter","","","","POETICS","FEB 2014","2014","42","","","","","1","21","","10.1016/j.poetic.2013.10.002","","","32","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","7","6","2","7","2","0"
"Beyond social networking: Performing global Englishes in Facebook by college youth in Nepal","Sharma, Bal Krishna","","","","JOURNAL OF SOCIOLINGUISTICS","SEP 2012","2012","16","4","","","","483","509","","10.1111/j.1467-9841.2012.00544.x","","","32","3.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","3","4","5","8","2","2","0"
"MySpace or Yours? The Ethical Dilemma of Graduate Students' Personal Lives on the Internet","Lehavot, Keren","","","","ETHICS & BEHAVIOR","2009","2009","19","2","","","","129","141","PII 910431357","10.1080/10508420902772728","","","33","2.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","2","6","7","2","1","1","0","2","0","1"
"Prevalence of skin diseases among schoolchildren in Magong, Penghu, Taiwan: A community-based clinical survey","Chen, Guan-Yu; Cheng, Yu-Wen; Wang, Cheng-Yu; Hsu, Tsung-Jen; Hsu, M. Ming-Long; Yang, Pei-Tun; Chen, Wen-Chieh","","","","JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION","JAN 2008","2008","107","1","","","","21","29","","10.1016/S0929-6646(08)60004-2","","","33","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","1","3","3","6","3","1","4","2","3","0"
"Asking semi-literate adolescents about sexual behaviour: the validity of assisted self-completion questionnaire (ASCQ) data in rural Tanzania","Plummer, ML; Wight, D; Ross, DA; Balira, R; Anemona, A; Todd, J; Salamba, Z; Obasi, AIN; Grosskurth, H; Changalunga, J; Hayes, RJ","","","","TROPICAL MEDICINE & INTERNATIONAL HEALTH","JUN 2004","2004","9","6","","","","737","754","","10.1111/j.1365-3156.2004.01254.x","","","33","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","3","4","4","4","3","1","2","0","3","2","1","1","1","0","0"
"OBSTETRIC PATIENTS WHO SELECT AND THOSE WHO REFUSE MEDICAL-STUDENTS PARTICIPATION IN THEIR CARE","MAGRANE, D; GANNON, J; MILLER, CT","","","","ACADEMIC MEDICINE","DEC 1994","1994","69","12","","","","1004","1006","","10.1097/00001888-199412000-00023","","","33","1.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","2","2","3","2","1","2","3","2","2","3","3","0","0","0","0","1","0","0","1","1","0","0"
"To Google or Not To Google: Graduate Students' Use of the Internet To Access Personal Information About Clients","DiLillo, David; Gale, Emily B.","","","","TRAINING AND EDUCATION IN PROFESSIONAL PSYCHOLOGY","AUG 2011","2011","5","3","","","","160","166","","10.1037/a0024441","","","34","3.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","8","1","6","1","5","5","1","1"
"Communicating Personal Health Information in Virtual Health Communities: An Integration of Privacy Calculus Model and Affective Commitment","Kordzadeh, Nima; Warren, John","","","","JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS","JAN 2017","2017","18","1","","","","45","81","","","","","35","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","15","15","3"
"Understanding online regret experience in Facebook use - Effects of brand participation, accessibility & problematic use","Dhir, Amandeep; Kaur, Puneet; Chen, Sufen; Lonka, Kirsti","","","","COMPUTERS IN HUMAN BEHAVIOR","JUN 2016","2016","59","","","","","420","430","","10.1016/j.chb.2016.02.040","","","35","5.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","7","7","9","2"
"What drives you to check in on Facebook? Motivations, privacy concerns, and mobile phone involvement for location-based information sharing","Kim, Hyang-Sook","","","","COMPUTERS IN HUMAN BEHAVIOR","JAN 2016","2016","54","","","","","397","406","","10.1016/j.chb.2015.08.016","","","35","5.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","7","6","8","4"
"Self-disclosure on Facebook among female users and its relationship to feelings of loneliness","Al-Saggaf, Yeslam; Nielsen, Sharon","","","","COMPUTERS IN HUMAN BEHAVIOR","JUL 2014","2014","36","","","","","460","468","","10.1016/j.chb.2014.04.014","","","35","4.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","5","3","8","5","1"
"Differences among university students and faculties in social networking site perception and use Implications for academic library services","Park, Ji-Hong","","","","ELECTRONIC LIBRARY","2010","2010","28","3","","","","417","431","","10.1108/02640471011051990","","","35","2.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","5","7","4","4","3","0","4","0"
"An empirical study of the anticipated consumer response to RFID product item tagging","Angeles, Rebecca","","","","INDUSTRIAL MANAGEMENT & DATA SYSTEMS","2007","2007","107","3-4","","","","461","483","","10.1108/02635570710740643","","","35","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","4","1","3","3","3","2","2","5","1","0","4","0"
"Demographics of deaf education: More students in more places","Mitchell, Ross E.; Karchmer, Michael A.","","","","AMERICAN ANNALS OF THE DEAF","APR 2006","2006","151","2","","","","95","104","","10.1353/aad.2006.0029","","","35","2.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","6","1","1","1","5","4","5","3","2","0","3","0"
"Attitudes of African American premedical students toward genetic testing and screening","Laskey, SL; Williams, J; Pierre-Louis, J; O'Riordan, M; Matthews, A; Robin, NH","","","","GENETICS IN MEDICINE","JAN-FEB 2003","2003","5","1","","","","49","54","","10.1097/00125817-200301000-00008","","","35","1.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","3","0","3","2","2","3","2","2","0","2","2","1","3","3","1"
"Perceptions of autonomy, privacy and informed consent in the care of elderly people in five European countries: Comparison and implications for the future","Leino-Kilpi, H; Valimaki, M; Dassen, T; Gasull, M; Lemonidou, C; Scott, PA; Schopp, A; Arndt, M; Kaljonen, A","","","","NURSING ETHICS","JAN 2003","2003","10","1","","","","58","66","","10.1191/0969733003ne575oa","","","35","1.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","5","4","2","5","4","3","0","0","2","1","1","2","0"
"Understanding micro-processes of community building and mutual learning on Twitter: a 'small data' approach","Stephansen, Hilde C.; Couldry, Nick","","","","INFORMATION COMMUNICATION & SOCIETY","2014","2014","17","10","","","","1212","1227","","10.1080/1369118X.2014.902984","","","36","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","5","11","6","4","0"
"Mentoring surgeons for the 21st century","Singletary, SE","","","","ANNALS OF SURGICAL ONCOLOGY","NOV 2005","2005","12","11","","","","848","860","","10.1245/ASO.2005.04.035","","","36","2.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","3","6","4","4","3","1","3","5","0","1","2","0","0"
"ETHICS AND INFORMATION TECHNOLOGY USE - A FACTOR-ANALYSIS OF ATTITUDES TO COMPUTER USE","CONGER, S; LOCH, KD; HELFT, BL","","","","INFORMATION SYSTEMS JOURNAL","JUL 1995","1995","5","3","","","","161","183","","10.1111/j.1365-2575.1995.tb00106.x","","","36","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","1","3","2","0","0","0","1","1","1","1","3","1","2","2","2","2","0","1","0","3","2","1","0"
"Mobile payments adoption by US consumers: an extended TAM","Bailey, Ainsworth Anthony; Pentina, Iryna; Mishra, Aditya Shankar; Ben Mimoun, Mohammed Slim","","","","INTERNATIONAL JOURNAL OF RETAIL & DISTRIBUTION MANAGEMENT","2017","2017","45","6","","","","626","640","","10.1108/IJRDM-08-2016-0144","","","37","7.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","16","7"
"Social Media in Nursing Education: Responsible Integration for Meaningful Use","Peck, Jessica L.","","","","JOURNAL OF NURSING EDUCATION","MAR 2014","2014","53","3","","","","164","169","","10.3928/01484834-20140219-03","","","37","4.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","5","4","14","6","2"
